                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.25915,                0.24149,                0.18334,                0.85494,                0.99948,                      1,                  0.995,                0.99364,                0.99948,                      1,                  0.995,                  0.995,                0.16291,                0.11556,                0.13257,                0.62407,              0.0006932,              0.0006932,              0.0006932
                    102,                0.25995,                0.25362,                0.18547,                0.85715,                0.99939,                      1,                  0.995,                0.99232,                0.99939,                      1,                  0.995,                0.99457,                0.18342,                0.11509,                0.12994,                0.63758,                0.00068,                0.00068,                0.00068
                    103,                0.25699,                0.24685,                0.18015,                0.85887,                0.99948,                      1,                  0.995,                0.99093,                0.99948,                      1,                  0.995,                0.99462,                0.20801,                0.12591,                 0.1255,                0.63777,              0.0006668,              0.0006668,              0.0006668
                    104,                0.25325,                 0.2356,                0.17792,                0.85858,                0.99896,                      1,                  0.995,                 0.9921,                0.99896,                      1,                  0.995,                  0.995,                 0.1623,                 0.1338,                0.15287,                0.62756,              0.0006536,              0.0006536,              0.0006536
                    105,                0.24854,                0.24239,                0.17383,                0.85741,                0.99918,                      1,                  0.995,                0.99298,                0.99918,                      1,                  0.995,                  0.995,                0.16058,                0.12027,                0.13721,                0.63052,              0.0006404,              0.0006404,              0.0006404
                    106,                0.25601,                0.23396,                0.17824,                0.85944,                0.99948,                      1,                  0.995,                0.99314,                0.99948,                      1,                  0.995,                  0.995,                0.15465,                0.12946,                0.13521,                0.62605,              0.0006272,              0.0006272,              0.0006272
                    107,                0.24798,                0.24852,                0.17725,                0.85654,                0.99951,                      1,                  0.995,                0.99321,                0.99951,                      1,                  0.995,                  0.995,                0.17273,                0.11243,                0.14147,                0.63194,               0.000614,               0.000614,               0.000614
                    108,                0.24332,                 0.2285,                0.17668,                0.85692,                 0.9995,                      1,                  0.995,                0.99319,                 0.9995,                      1,                  0.995,                  0.995,                0.16969,                0.10954,                0.12103,                0.63031,              0.0006008,              0.0006008,              0.0006008
                    109,                0.25366,                 0.2572,                0.17675,                 0.8583,                 0.9995,                      1,                  0.995,                0.99175,                 0.9995,                      1,                  0.995,                  0.995,                0.16931,                0.13477,                0.13126,                0.62895,              0.0005876,              0.0005876,              0.0005876
                    110,                0.25129,                0.24187,                0.17132,                 0.8578,                0.99948,                      1,                  0.995,                0.99245,                0.99948,                      1,                  0.995,                0.99467,                0.16698,                0.12225,                0.13137,                0.63201,              0.0005744,              0.0005744,              0.0005744
                    111,                0.25116,                0.24071,                0.17546,                0.85277,                0.99946,                      1,                  0.995,                0.99181,                0.99946,                      1,                  0.995,                  0.995,                0.15051,                0.11849,                0.13435,                0.62564,              0.0005612,              0.0005612,              0.0005612
                    112,                0.25149,                0.24353,                0.16789,                0.85246,                0.99937,                      1,                  0.995,                0.99174,                0.99937,                      1,                  0.995,                  0.995,                0.16776,                0.11598,                0.13058,                0.63092,               0.000548,               0.000548,               0.000548
